timestamp,landmarks,hand_sign_id
2023-07-30 14:55:34.216896,"[0.0, 0.0, -0.1952191235059761, -0.00398406374501992, -0.3884462151394422, -0.09163346613545817, -0.5219123505976095, -0.17928286852589642, -0.6394422310756972, -0.23705179282868527, -0.33067729083665337, -0.41832669322709165, -0.4701195219123506, -0.601593625498008, -0.5637450199203188, -0.7071713147410359, -0.6434262948207171, -0.796812749003984, -0.21912350597609562, -0.4701195219123506, -0.30876494023904383, -0.7111553784860558, -0.36254980079681276, -0.8685258964143426, -0.40239043824701193, -1.0, -0.08964143426294821, -0.4681274900398406, -0.14741035856573706, -0.7051792828685259, -0.1852589641434263, -0.8545816733067729, -0.21314741035856574, -0.9840637450199203, 0.05179282868525897, -0.4262948207171315, 0.09760956175298804, -0.6095617529880478, 0.12749003984063745, -0.7350597609561753, 0.15338645418326693, -0.850597609561753]",0
2023-07-30 14:55:34.309360,"[0.0, 0.0, -0.1908548707753479, -0.027833001988071572, -0.3697813121272366, -0.15109343936381708, -0.4970178926441352, -0.2664015904572565, -0.6163021868787276, -0.3359840954274354, -0.3081510934393638, -0.4572564612326044, -0.4294234592445328, -0.6242544731610338, -0.5089463220675944, -0.7375745526838966, -0.5685884691848907, -0.8330019880715706, -0.19681908548707752, -0.5089463220675944, -0.27634194831013914, -0.7276341948310139, -0.3220675944333996, -0.8767395626242545, -0.35785288270377735, -1.0, -0.07157057654075547, -0.510934393638171, -0.12127236580516898, -0.7256461232604374, -0.1550695825049702, -0.8687872763419483, -0.18687872763419483, -0.9900596421471173, 0.06560636182902585, -0.4691848906560636, 0.10536779324055666, -0.6441351888667992, 0.1312127236580517, -0.7693836978131213, 0.14910536779324055, -0.8807157057654076]",0
2023-07-30 14:55:34.377487,"[0.0, 0.0, -0.19284294234592445, -0.027833001988071572, -0.3757455268389662, -0.16302186878727634, -0.49502982107355864, -0.28429423459244535, -0.6083499005964215, -0.341948310139165, -0.3081510934393638, -0.46520874751491054, -0.42147117296222664, -0.6322067594433399, -0.49304174950298213, -0.7415506958250497, -0.5506958250497018, -0.8389662027833003, -0.19284294234592445, -0.5168986083499006, -0.268389662027833, -0.7335984095427436, -0.3061630218687873, -0.8807157057654076, -0.3359840954274354, -1.0, -0.06958250497017893, -0.5168986083499006, -0.11133200795228629, -0.7256461232604374, -0.14314115308151093, -0.8628230616302187, -0.1749502982107356, -0.9781312127236581, 0.0636182902584493, -0.47713717693836977, 0.10536779324055666, -0.6461232604373758, 0.1312127236580517, -0.7673956262425448, 0.15308151093439365, -0.878727634194831]",0
2023-07-30 14:55:34.444528,"[0.0, 0.0, -0.19723865877712032, -0.03353057199211045, -0.3747534516765286, -0.16962524654832348, -0.4911242603550296, -0.2938856015779093, -0.5996055226824457, -0.358974358974359, -0.30177514792899407, -0.46745562130177515, -0.41420118343195267, -0.6351084812623274, -0.4832347140039448, -0.747534516765286, -0.5364891518737672, -0.8441814595660749, -0.1913214990138067, -0.5187376725838264, -0.26232741617357, -0.7357001972386588, -0.2978303747534517, -0.883629191321499, -0.3234714003944773, -1.0, -0.07100591715976332, -0.5187376725838264, -0.11242603550295859, -0.727810650887574, -0.13806706114398423, -0.8658777120315582, -0.16173570019723865, -0.980276134122288, 0.05719921104536489, -0.4812623274161736, 0.10059171597633136, -0.650887573964497, 0.1301775147928994, -0.7692307692307693, 0.15384615384615385, -0.8777120315581854]",0
2023-07-30 14:55:34.509026,"[0.0, 0.0, -0.20078740157480315, -0.03543307086614173, -0.3799212598425197, -0.17125984251968504, -0.49606299212598426, -0.2952755905511811, -0.6043307086614174, -0.35826771653543305, -0.3110236220472441, -0.468503937007874, -0.42322834645669294, -0.6377952755905512, -0.49015748031496065, -0.75, -0.5433070866141733, -0.8464566929133859, -0.19881889763779528, -0.5196850393700787, -0.27165354330708663, -0.7401574803149606, -0.30708661417322836, -0.8838582677165354, -0.33661417322834647, -1.0, -0.07874015748031496, -0.5216535433070866, -0.12007874015748031, -0.734251968503937, -0.14763779527559054, -0.8720472440944882, -0.1732283464566929, -0.9862204724409449, 0.04921259842519685, -0.4862204724409449, 0.08858267716535433, -0.65748031496063, 0.11811023622047244, -0.7755905511811023, 0.14173228346456693, -0.8799212598425197]",0
2023-07-30 14:55:34.576843,"[0.0, 0.0, -0.1968503937007874, -0.03740157480314961, -0.3779527559055118, -0.1732283464566929, -0.5, -0.2952755905511811, -0.6161417322834646, -0.36023622047244097, -0.30708661417322836, -0.46653543307086615, -0.421259842519685, -0.6358267716535433, -0.4921259842519685, -0.7460629921259843, -0.547244094488189, -0.844488188976378, -0.19488188976377951, -0.5196850393700787, -0.26968503937007876, -0.7381889763779528, -0.3090551181102362, -0.8838582677165354, -0.3425196850393701, -1.0, -0.07480314960629922, -0.5236220472440944, -0.11811023622047244, -0.7322834645669292, -0.14960629921259844, -0.8700787401574803, -0.17913385826771652, -0.9862204724409449, 0.0531496062992126, -0.4862204724409449, 0.09645669291338582, -0.655511811023622, 0.12598425196850394, -0.7755905511811023, 0.14763779527559054, -0.8858267716535433]",0
2023-07-30 14:55:34.643509,"[0.0, 0.0, -0.19721115537848605, -0.035856573705179286, -0.3784860557768924, -0.17131474103585656, -0.5, -0.29282868525896416, -0.6195219123505976, -0.35856573705179284, -0.3047808764940239, -0.4681274900398406, -0.4203187250996016, -0.6374501992031872, -0.49203187250996017, -0.749003984063745, -0.545816733067729, -0.8466135458167331, -0.1952191235059761, -0.5219123505976095, -0.2689243027888446, -0.7390438247011952, -0.30876494023904383, -0.8824701195219123, -0.34063745019920316, -1.0, -0.07370517928286853, -0.5239043824701195, -0.11752988047808766, -0.7330677290836654, -0.14940239043824702, -0.8705179282868526, -0.17928286852589642, -0.9860557768924303, 0.053784860557768925, -0.4860557768924303, 0.099601593625498, -0.6573705179282868, 0.1294820717131474, -0.7788844621513944, 0.15139442231075698, -0.8884462151394422]",0
2023-07-30 14:55:34.710200,"[0.0, 0.0, -0.19678714859437751, -0.03614457831325301, -0.37751004016064255, -0.17269076305220885, -0.5, -0.29518072289156627, -0.6164658634538153, -0.35943775100401604, -0.3072289156626506, -0.4678714859437751, -0.41967871485943775, -0.6365461847389559, -0.4899598393574297, -0.7469879518072289, -0.5421686746987951, -0.8433734939759037, -0.19678714859437751, -0.5200803212851406, -0.26907630522088355, -0.7389558232931727, -0.3072289156626506, -0.8835341365461847, -0.3373493975903614, -1.0, -0.07429718875502007, -0.5220883534136547, -0.11847389558232932, -0.7309236947791165, -0.14859437751004015, -0.8694779116465864, -0.17670682730923695, -0.9839357429718876, 0.05421686746987952, -0.4859437751004016, 0.10040160642570281, -0.6526104417670683, 0.13052208835341367, -0.7751004016064257, 0.15261044176706828, -0.8855421686746988]",0
2023-07-30 14:55:34.776068,"[0.0, 0.0, -0.19959677419354838, -0.036290322580645164, -0.38306451612903225, -0.17137096774193547, -0.5020161290322581, -0.29435483870967744, -0.6169354838709677, -0.3588709677419355, -0.3125, -0.4637096774193548, -0.4254032258064516, -0.6290322580645161, -0.4959677419354839, -0.7399193548387096, -0.5504032258064516, -0.8366935483870968, -0.20362903225806453, -0.5161290322580645, -0.28024193548387094, -0.7338709677419355, -0.32056451612903225, -0.8810483870967742, -0.3467741935483871, -1.0, -0.0846774193548387, -0.5201612903225806, -0.1310483870967742, -0.7298387096774194, -0.16129032258064516, -0.8689516129032258, -0.1875, -0.9838709677419355, 0.04435483870967742, -0.48588709677419356, 0.08266129032258064, -0.655241935483871, 0.11088709677419355, -0.7741935483870968, 0.1350806451612903, -0.8810483870967742]",0
2023-07-30 14:55:34.843307,"[0.0, 0.0, -0.18040089086859687, -0.0556792873051225, -0.33853006681514475, -0.21380846325167038, -0.42538975501113585, -0.34966592427616927, -0.512249443207127, -0.44320712694877507, -0.24498886414253898, -0.4766146993318486, -0.3518930957683742, -0.6481069042316259, -0.42316258351893093, -0.7527839643652561, -0.48329621380846327, -0.844097995545657, -0.1492204899777283, -0.5167037861915368, -0.2383073496659243, -0.734966592427617, -0.30066815144766146, -0.8797327394209354, -0.34966592427616927, -0.9977728285077951, -0.042316258351893093, -0.5189309576837416, -0.10467706013363029, -0.7394209354120267, -0.155902004454343, -0.8819599109131403, -0.20044543429844097, -1.0, 0.07349665924276169, -0.48552338530066813, 0.07349665924276169, -0.6726057906458798, 0.060133630289532294, -0.799554565701559, 0.042316258351893093, -0.9086859688195991]",6
